Altium Designer Pick and Place Locations
C:\Users\osbor\Desktop\rp2040-isp-stamp\rp2040_isp_stamp\assy\Pick Place for pcb_v2.csv

========================================================================================================================
File Design Information:

Date:       17/08/22
Time:       22:05
Revision:   8a2a090fb99a0f3294c6fee41353f84174497834
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation","Comment","Footprint","Description"
"C1","23.2410mm","18.7960mm","TopLayer","270","2.2uF","C0603","16V 2.2uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C2","2.9210mm","17.9070mm","TopLayer","180","100nF","C0402","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C3","11.9380mm","19.0500mm","TopLayer","270","1uF","C0402","25V 1uF X5R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C4","11.1760mm","19.0500mm","TopLayer","270","1uF","C0402","25V 1uF X5R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C5","8.1280mm","15.8750mm","TopLayer","0","100nF","C0402","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C6","18.9230mm","9.3980mm","TopLayer","135","100nF","C0402","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C7","23.2410mm","22.2250mm","TopLayer","270","10uF","C0603","X5R 25V ±20% 10uF 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C8","22.2250mm","22.2250mm","TopLayer","270","100nF","C0402","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C9","21.4630mm","22.2250mm","TopLayer","270","100nF","C0402","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C10","20.4470mm","22.2250mm","TopLayer","270","10uF","C0603","X5R 25V ±20% 10uF 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C11","12.8270mm","22.8600mm","TopLayer","270","1uF","C0402","25V 1uF X5R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C12","12.0650mm","22.8600mm","TopLayer","270","100nF","C0402","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C13","7.3660mm","22.4790mm","TopLayer","270","100nF","C0402","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C14","6.6040mm","22.4790mm","TopLayer","270","1uF","C0402","25V 1uF X5R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C15","3.3020mm","23.3680mm","TopLayer","0","100nF","C0402","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C16","8.1280mm","16.6370mm","TopLayer","0","100nF","C0402","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C17","8.1280mm","17.3990mm","TopLayer","0","100nF","C0402","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C18","12.7000mm","19.0500mm","TopLayer","270","100nF","C0402","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C19","13.4620mm","19.0500mm","TopLayer","270","100nF","C0402","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C20","18.2880mm","15.7480mm","TopLayer","135","100nF","C0402","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C21","18.2880mm","8.7630mm","TopLayer","135","100nF","C0402","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C22","10.6680mm","6.8580mm","TopLayer","135","100nF","C0402","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C23","7.4930mm","10.2870mm","TopLayer","90","100nF","C0402","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C24","14.9860mm","4.3180mm","TopLayer","315","33pF","C0402","50V 33pF C0G ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C25","18.2880mm","7.6200mm","TopLayer","135","33pF","C0402","50V 33pF C0G ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"D1","14.9860mm","22.3520mm","TopLayer","90","1N5819WS","SOD-323_L1.8-W1.3-LS2.5-RD","40V 600mV@1A 1A SOD-323  Schottky Barrier Diodes (SBD) ROHS"
"D2","16.8910mm","22.3520mm","TopLayer","90","1N5819WS","SOD-323_L1.8-W1.3-LS2.5-RD","40V 600mV@1A 1A SOD-323  Schottky Barrier Diodes (SBD) ROHS"
"D3","18.7960mm","22.3520mm","TopLayer","90","1N5819WS","SOD-323_L1.8-W1.3-LS2.5-RD","40V 600mV@1A 1A SOD-323  Schottky Barrier Diodes (SBD) ROHS"
"D4","3.1750mm","19.5580mm","TopLayer","0","1N4148WS T4","SOD-323_L1.8-W1.3-LS2.5-RD","100V +150?@(Tj) 200mW Single 1.25V@150mA 4ns 1µA@75V 150mA SOD-323  Switching Diode ROHS"
"D5","10.6680mm","5.3340mm","TopLayer","135","19-217/GHC-YR1S2/3T","LED0603-R-RD","20mA 285mcd 3.3V 518nm Colorless transparence -40?~+85? 520nm~535nm Emerald 120° 110mW 0603  Light Emitting Diodes (LED) ROHS"
"R1","20.7010mm","16.6370mm","TopLayer","0","10kO","R0402","1/16W Thick Film Resistors 50V ±1% ±100ppm/? -55?~+155? 10kO 0402  Chip Resistor - Surface Mount ROHS"
"R2","12.4460mm","20.9550mm","TopLayer","180","2.2O","R0603","1/10W Thick Film Resistors 75V ±1% ±400ppm/? -55?~+155? 2.2O 0603  Chip Resistor - Surface Mount ROHS"
"R3","9.0170mm","19.3040mm","TopLayer","90","27O","R0603","1/10W Thick Film Resistors 75V ±1% ±200ppm/? -55?~+155? 27O 0603  Chip Resistor - Surface Mount ROHS"
"R4","10.1600mm","19.3040mm","TopLayer","90","27O","R0603","1/10W Thick Film Resistors 75V ±1% ±200ppm/? -55?~+155? 27O 0603  Chip Resistor - Surface Mount ROHS"
"R5","5.3340mm","21.7170mm","TopLayer","90","10kO","R0402","1/16W Thick Film Resistors 50V ±1% ±100ppm/? -55?~+155? 10kO 0402  Chip Resistor - Surface Mount ROHS"
"R6","3.5560mm","6.6040mm","TopLayer","0","0O","R0805","125mW Thick Film Resistors 150V ±1% ±800ppm/? -55?~+155? 0mO 0805  Chip Resistor - Surface Mount ROHS"
"R7","6.0960mm","6.7310mm","TopLayer","270","100O","R0402","1/16W Thick Film Resistors 50V ±1% ±200ppm/? -55?~+155? 100O 0402  Chip Resistor - Surface Mount ROHS"
"R8","20.1930mm","10.6680mm","TopLayer","315","100O","R0402","1/16W Thick Film Resistors 50V ±1% ±200ppm/? -55?~+155? 100O 0402  Chip Resistor - Surface Mount ROHS"
"R9","19.5580mm","10.0330mm","TopLayer","315","100O","R0402","1/16W Thick Film Resistors 50V ±1% ±200ppm/? -55?~+155? 100O 0402  Chip Resistor - Surface Mount ROHS"
"R10","16.2560mm","8.3820mm","TopLayer","45","1kO","R0402","1/16W Thick Film Resistors 50V ±1% ±100ppm/? -55?~+155? 1kO 0402  Chip Resistor - Surface Mount ROHS"
"R11","22.0980mm","8.3820mm","TopLayer","270","10kO","R0402","1/16W Thick Film Resistors 50V ±1% ±100ppm/? -55?~+155? 10kO 0402  Chip Resistor - Surface Mount ROHS"
"R12","20.7010mm","15.7480mm","TopLayer","180","10kO","R0402","1/16W Thick Film Resistors 50V ±1% ±100ppm/? -55?~+155? 10kO 0402  Chip Resistor - Surface Mount ROHS"
"R13","21.2090mm","8.3820mm","TopLayer","90","1kO","R0402","1/16W Thick Film Resistors 50V ±1% ±100ppm/? -55?~+155? 1kO 0402  Chip Resistor - Surface Mount ROHS"
"R14","12.4460mm","5.0800mm","TopLayer","315","220O","R0402","1/16W Thick Film Resistors 50V ±1% ±100ppm/? -55?~+155? 220O 0402  Chip Resistor - Surface Mount ROHS"
"SW1","21.8440mm","5.7150mm","TopLayer","180","B3U-1000P","KEY-SMD_B3U-1000PM","2.5mm 1.6mm Round Button 50mA Brick nogging 3mm SPST 12V SMD,3x2.5x1.6mm  Tactile Switches ROHS"
"SW2","21.8440mm","2.7940mm","TopLayer","180","B3U-1000P","KEY-SMD_B3U-1000PM","2.5mm 1.6mm Round Button 50mA Brick nogging 3mm SPST 12V SMD,3x2.5x1.6mm  Tactile Switches ROHS"
"U1","4.1910mm","12.7000mm","TopLayer","0","W25Q128JVSIQTR","SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL","SOIC-8_208mil  NOR FLASH ROHS"
"U2","20.5740mm","18.7959mm","TopLayer","180","HX4002","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR","NO Charge pump 1 5V 2.7V~5.5V 250mA 1.2MHz SOT-23-6  DC-DC Converters ROHS"
"U3","9.6521mm","22.4790mm","TopLayer","180","XC6206P332MR","SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR","200mA 680mV@(100mA) Fixed 3.3V~3.3V Positive 1 6V SOT-23-3L  Linear Voltage Regulators (LDO) ROHS"
"U4","3.3020mm","21.7170mm","TopLayer","0","WS2812B-2020","LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020","5mA 5.3V -25?~+85? RGB SMD,2x2mm  Light Emitting Diodes (LED) ROHS"
"U5","12.7000mm","12.7000mm","TopLayer","45","RP2040","LQFN-56_L7.0-W7.0-P0.4-EP","ARM Cortex-M0 1@x4ch/12bit USB Host/Device 2 264KB 2 133MHz 30 2 QFN-56(7x7)  Microcontroller Units (MCUs/MPUs/SOCs) ROHS"
"X1","16.6370mm","5.9690mm","TopLayer","45","12MHz","OSC-SMD_4P-L3.2-W2.5-BL","12MHz SMD Crystal Resonator 20pF ±10ppm ±30ppm -40?~+85? SMD3225-4P  Crystals ROHS"
