Altium Designer Pick and Place Locations
C:\Users\osbor\Desktop\rp2040-isp-stamp\rp2040_isp_stamp\assy\Pick Place for rp2040_isp_stamp_panel.csv

========================================================================================================================
File Design Information:

Date:       17/08/22
Time:       22:57
Revision:   8087236eff5734b434f03943f215c42cb1134a1c
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation","Comment","Footprint","Description"
"C1","27.6860mm","23.2410mm","TopLayer","270","2.2uF","C0603","16V 2.2uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C1","27.6860mm","49.9110mm","TopLayer","270","2.2uF","C0603","16V 2.2uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C1","27.6860mm","76.5810mm","TopLayer","270","2.2uF","C0603","16V 2.2uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C1","54.3560mm","23.2410mm","TopLayer","270","2.2uF","C0603","16V 2.2uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C1","54.3560mm","49.9110mm","TopLayer","270","2.2uF","C0603","16V 2.2uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C1","54.3560mm","76.5810mm","TopLayer","270","2.2uF","C0603","16V 2.2uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C1","81.0260mm","23.2410mm","TopLayer","270","2.2uF","C0603","16V 2.2uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C1","81.0260mm","49.9110mm","TopLayer","270","2.2uF","C0603","16V 2.2uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C1","81.0260mm","76.5810mm","TopLayer","270","2.2uF","C0603","16V 2.2uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C2","7.3660mm","22.3520mm","TopLayer","180","100nF","C0402","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C2","7.3660mm","49.0220mm","TopLayer","180","100nF","C0402","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C2","7.3660mm","75.6920mm","TopLayer","180","100nF","C0402","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C2","34.0360mm","22.3520mm","TopLayer","180","100nF","C0402","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C2","34.0360mm","49.0220mm","TopLayer","180","100nF","C0402","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
